cluster,event_id,year,name,start_date,end_date,discipline,category,level,location,venue,result_count
Other named international meets,360,2019,Tournoi International,2019-11-16,2019-11-17,WAG,junior,International Event,,,383
Other named international meets,384,2019,Elite Gym Massilia,2019-11-22,2019-11-24,WAG,junior and senior,International Event,,,688
Games / festivals / multi-sport events,250,2019,Olympic Hopes Cup,2019-11-28,2019-11-30,MAG and WAG,junior,International Event,,,706
Cups / opens / trophies / invitationals,277,2019,Voronin Cup,2019-11-29,2019-11-30,MAG and WAG,junior and senior,International Event,,,728
Cups / opens / trophies / invitationals,300,2019,Barborka Cup,2019-11-30,2019-12-01,MAG and WAG,junior,International Event,,,194
Cups / opens / trophies / invitationals,285,2019,Sokol Grand Prix,2019-11-30,2019-11-30,MAG and WAG,senior,International Event,,,87
Regional or sub-continental events,272,2019,Southeast Asian Games,2019-11-30,2019-12-11,MAG and WAG,senior,International Event,,,303
Other named international meets,431,2019,Top Gym Tournament,2019-11-30,2019-12-01,WAG,junior,International Event,,,191
Cups / opens / trophies / invitationals,269,2019,Larisa Latynina Cup,2019-12-01,2019-12-05,MAG and WAG,junior and senior,International Event,,,504
Cups / opens / trophies / invitationals,385,2019,Krstic & Delatovic Memorial,2019-12-07,2019-12-08,WAG,junior and senior,International Event,,,249
Cups / opens / trophies / invitationals,418,2019,Christmas Cup,2019-12-14,2019-12-15,WAG,junior and senior,International Event,,,235
Other named international meets,354,2019,Toyota International,2019-12-14,2019-12-15,MAG and WAG,junior and senior,International Event,,,119
Cups / opens / trophies / invitationals,472,2020,RD761 Junior International Cup,2020-01-17,2020-01-18,MAG,junior,International Event,,,273
Cups / opens / trophies / invitationals,473,2020,Liukin Invitational,2020-01-31,2020-02-02,MAG,junior and senior,International Event,,,194
Cups / opens / trophies / invitationals,509,2020,WOGA Classic,2020-01-31,2020-02-02,WAG,junior and senior,International Event,,,100
Cups / opens / trophies / invitationals,514,2020,Create Team Cup,2020-02-01,2020-02-02,WAG,junior and senior,International Event,,,142
Other named international meets,511,2020,Elite Canada,2020-02-05,2020-02-09,WAG,junior and senior,International Event,,,624
Cups / opens / trophies / invitationals,474,2020,Houston National Invitational,2020-02-07,2020-02-09,MAG and WAG,junior and senior,International Event,,,168
Cups / opens / trophies / invitationals,458,2020,Mallorca Cup,2020-02-14,2020-02-16,MAG and WAG,junior and senior,International Event,,,513
Cups / opens / trophies / invitationals,460,2020,Winter Cup Challenge,2020-02-20,2020-02-22,MAG,junior and senior,International Event,,,599
Games / festivals / multi-sport events,488,2020,Olympic Hopes Meet,2020-02-21,2020-02-22,MAG and WAG,junior and senior,International Event,,,168
Other named international meets,507,2020,1st Norwegian FIG Meet,2020-02-29,2020-03-01,WAG,junior and senior,International Event,,,251
Cups / opens / trophies / invitationals,508,2020,Pre-Olympic Youth Cup,2020-02-29,2020-02-29,WAG,junior,International Event,,,367
Other named international meets,512,2020,International Gymnix,2020-03-06,2020-03-08,WAG,junior and senior,International Event,,,602
Cups / opens / trophies / invitationals,462,2020,AGF Junior Trophy,2020-03-07,2020-03-08,MAG,junior,International Event,,,229
Other named international meets,494,2020,All-Japan Men's Qualifier,2020-03-07,2020-03-08,MAG,senior,International Event,,,245
Cups / opens / trophies / invitationals,485,2020,American Cup,2020-03-07,2020-03-07,MAG and WAG,senior,International Event,,,144
Cups / opens / trophies / invitationals,470,2020,Tiger Cup,2020-03-07,2020-03-08,MAG and WAG,junior and senior,International Event,,,501
