event_id,name,year,start_date,end_date,discipline,category,old_level,new_level,result_count
1146,Romanian Junior Championships,2023,2023-10-28,2023-10-29,WAG,junior,International Event,National Event,221
1360,Romanian Junior Championships,2024,2024-10-24,2024-10-27,WAG,junior,International Event,National Event,190
1565,Romanian Junior Championships,2025,2025-06-12,2025-06-14,WAG,junior,International Event,National Event,163
1707,Romanian Junior Championships,2026,2026-06-10,2026-06-11,WAG,junior,International Event,National Event,173
902,Romanian Junior Individual Championships,2022,2022-11-26,2022-11-27,WAG,junior,International Event,National Event,187
88,Russian Championships,2018,2018-04-18,2018-04-22,MAG and WAG,junior and senior,International Event,National Event,2294
302,Russian Championships,2019,2019-03-04,2019-03-10,MAG and WAG,senior,International Event,National Event,1316
469,Russian Championships,2020,2020-11-04,2020-11-08,MAG and WAG,junior and senior,International Event,National Event,1739
599,Russian Championships,2021,2021-03-10,2021-03-14,MAG and WAG,senior,International Event,National Event,1233
818,Russian Championships,2022,2022-04-06,2022-04-10,MAG and WAG,junior and senior,International Event,National Event,2657
1051,Russian Championships,2023,2023-03-08,2023-03-12,MAG and WAG,junior and senior,International Event,National Event,1397
1210,Russian Championships,2024,2024-03-11,2024-03-17,MAG and WAG,senior,International Event,National Event,1494
1495,Russian Championships,2025,2025-09-28,2025-10-05,MAG and WAG,junior and senior,International Event,National Event,1067
1677,Russian Championships,2026,2026-06-28,2026-07-06,MAG and WAG,junior and senior,International Event,National Event,1080
660,Russian Federal Championships,2021,2021-02-08,2021-02-12,WAG,senior,International Event,National Event,2388
115,Russian Junior Championships,2018,2018-06-27,2018-06-30,MAG and WAG,junior,International Event,National Event,1336
301,Russian Junior Championships,2019,2019-05-13,2019-05-18,MAG and WAG,junior,International Event,National Event,2054
688,Russian Junior Championships,2021,2021-04-01,2021-04-04,WAG,junior,International Event,National Event,804
967,Russian Junior Championships,2023,2023-05-09,2023-05-13,MAG and WAG,junior,International Event,National Event,1971
1203,Russian Junior Championships,2024,2024-04-03,2024-04-08,MAG and WAG,junior,International Event,National Event,1963
1414,Russian Junior Championships,2025,2025-03-22,2025-03-29,MAG and WAG,junior,International Event,National Event,2626
1667,Russian Junior Team Championships,2026,2026-03-16,2026-03-22,MAG and WAG,junior,International Event,National Event,2132
39,Scottish Championships,2018,2018-02-24,2018-02-25,MAG and WAG,junior and senior,International Event,National Event,716
252,Scottish Championships,2019,2019-02-23,2019-02-24,MAG and WAG,junior and senior,International Event,National Event,476
707,Scottish Championships,2021,2021-09-26,2021-09-26,WAG,junior and senior,International Event,National Event,35
730,Scottish Championships,2022,2022-02-26,2022-02-27,MAG and WAG,junior and senior,International Event,National Event,680
948,Scottish Championships,2023,2023-02-17,2023-02-19,MAG and WAG,junior and senior,International Event,National Event,1073
